movie_id,cast_name,cast_id,order
629,Pete Postlethwaite,4935,4
629,Kevin Spacey,1979,5
629,Suzy Amis,2179,6
629,Giancarlo Esposito,4808,7
629,Benicio del Toro,1121,8
629,Dan Hedaya,6486,9
629,Paul Bartel,101377,10
629,Carl Bressler,56166,11
629,Christine Estabrook,9047,12
629,Clark Gregg,9048,13
629,Morgan Hunter,156227,14
629,Louis Lombardi,3218,15
629,Frank Medrano,1216752,16
629,Ron Gilbert,1235937,17
11448,Woody Allen,1243,0
11448,Mira Sorvino,23931,1
11448,Helena Bonham Carter,1283,2
11448,F. Murray Abraham,1164,3
11448,Donald Symington,10560,4
11448,Claire Bloom,29545,5
11448,Olympia Dukakis,3019,6
11448,Michael Rapaport,4688,7
11448,David Ogden Stiers,28010,8
11448,Jack Warden,5251,9
11448,Peter Weller,27811,10
11448,Danielle Ferland,1161048,11
11010,Philippe Noiret,24366,0
11010,Massimo Troisi,67792,1
11010,Maria Grazia Cucinotta,10777,2
11010,Renato Scarpa,14149,3
11010,Linda Moretti,538696,4
11010,Mariano Rigillo,24290,5
11010,Anna Bonaiuto,225301,6
11010,Simona Caparrini,1351952,7
11010,Carlo Di Maio,1352578,9
11010,Nando Neri,1352580,10
11010,Vincenzo Di Sauro,1352582,11
11010,Orazio Stracuzzi,1189964,12
11010,Sergio Solli,1151165,13
11010,Alfredo Cozzolino,1352583,14
11359,Hal Scardino,69301,0
11359,Litefoot,69302,1
11359,Lindsay Crouse,32225,2
11359,Richard Jenkins,28633,3
11359,Rishi Bhat,1318612,4
11359,Steve Coogan,4581,5
11359,David Keith,18181,6
11359,Sakina Jaffrey,34200,7
11359,Vincent Kartheiser,52646,8
11359,Nestor Serrano,14331,9
2054,Richard Dreyfuss,3037,0
2054,Glenne Headly,21104,1
2054,Jay Thomas,21105,2
2054,Olympia Dukakis,3019,3
2054,William H. Macy,3905,4
2054,Alicia Witt,3128,5
2054,Nicholas John Renner,21107,6
2054,Joseph Anderson,21108,7
2054,Anthony Natale,21109,8
2054,Jean Louisa Kelly,26495,9
2054,Terrence Howard,18288,10
2054,Damon Whitaker,39597,11
2054,Alexandra Boyd,146182,12
2054,Joanna Gleason,20747,13
2054,Beth Maitland,1881495,14
2054,Joshua Minnick,85422,15
10607,Shawn Wayans,35690,0
10607,Marlon Wayans,9562,1
10607,Tracey Cherelle Jones,66131,2
10607,Chris Spencer,27590,3
10607,Vivica A. Fox,2535,4
10607,Rappin' Granny,66132,5
10607,Suli McCullough,1214127,6
10607,Bernie Mac,1897,7
10607,Faizon Love,62066,8
10607,Keenen Ivory Wayans,35689,9
10607,Kim Wayans,95189,10
10607,Helen Martin,111872,11
10607,Virginia Watson,154272,12
10607,Darrel Heath,83102,13
9536,Pauly Shore,64998,0
9536,Stephen Baldwin,9045,1
9536,Joey Lauren Adams,16484,2
9536,Teresa Hill,43433,3
9536,William Atherton,7676,4
9536,Dara Tomanovich,57868,5
9536,Kevin West,57869,6
9536,Denise Dowse,23970,7
9536,Kylie Minogue,12207,8
9536,Kyle Gass,22297,9
9536,Jack Black,70851,10
9536,Rose McGowan,16850,11
10634,Ice Cube,9778,0
10634,Chris Tucker,66,1
10634,Nia Long,9781,2
