movie_id,genre
18937,Romance
18937,Family
929,Science Fiction
929,Action
929,Thriller
1878,Adventure
1878,Drama
1878,Comedy
1965,Crime
1965,Thriller
1965,Drama
6068,Action
6068,Adventure
6068,Comedy
6068,Romance
15037,Comedy
15037,Drama
15037,Romance
21334,Drama
21334,Comedy
21334,Family
10674,Animation
10674,Family
10674,Adventure
846,Mystery
846,Science Fiction
846,Thriller
3050,Comedy
3050,Family
3050,Fantasy
1389,Romance
1389,Comedy
1389,Crime
11020,Thriller
11020,Drama
11020,Mystery
9464,Romance
9464,Comedy
9464,Crime
9464,Drama
95,Action
95,Thriller
95,Science Fiction
95,Adventure
944,Action
944,Adventure
944,Comedy
944,Crime
944,Thriller
11551,Comedy
11551,Adventure
11551,Fantasy
11551,Science Fiction
11551,Action
473,Mystery
473,Drama
473,Thriller
544,Romance
544,Comedy
10513,Science Fiction
10513,Horror
143,Drama
143,War
28580,Drama
887,Drama
887,History
887,Romance
11426,War
11426,Drama
11426,Romance
